"layer","x","y"
-1,-94.5,39.5
-1,-93.5,39.5
-1,-92.5,39.5
-1,-91.5,39.5
-1,-90.5,39.5
-1,-89.5,39.5
-1,-88.5,39.5
-1,-87.5,39.5
-1,-86.5,39.5
-1,-85.5,39.5
-1,-84.5,39.5
-1,-83.5,39.5
-1,-82.5,39.5
-1,-81.5,39.5
-1,-80.5,39.5
-1,-79.5,39.5
-1,-78.5,39.5
-1,-77.5,39.5
-1,-76.5,39.5
-1,-75.5,39.5
1760,-74.5,39.5
1760,-73.5,39.5
1760,-72.5,39.5
956,-71.5,39.5
1796,-70.5,39.5
1796,-69.5,39.5
1796,-68.5,39.5
1784,-67.5,39.5
1784,-66.5,39.5
1712,-65.5,39.5
1712,-64.5,39.5
1785,-63.5,39.5
992,-62.5,39.5
992,-61.5,39.5
992,-60.5,39.5
1604,-59.5,39.5
1604,-58.5,39.5
1628,-57.5,39.5
1628,-56.5,39.5
1784,-55.5,39.5
-1,-94.5,38.5
-1,-93.5,38.5
-1,-92.5,38.5
-1,-91.5,38.5
-1,-90.5,38.5
-1,-89.5,38.5
-1,-88.5,38.5
-1,-87.5,38.5
-1,-86.5,38.5
-1,-85.5,38.5
-1,-84.5,38.5
-1,-83.5,38.5
-1,-82.5,38.5
-1,-81.5,38.5
-1,-80.5,38.5
-1,-79.5,38.5
-1,-78.5,38.5
-1,-77.5,38.5
1460,-76.5,38.5
1411,-75.5,38.5
1760,-74.5,38.5
1760,-73.5,38.5
1760,-72.5,38.5
1760,-71.5,38.5
1796,-70.5,38.5
1796,-69.5,38.5
1796,-68.5,38.5
1760,-67.5,38.5
1760,-66.5,38.5
1712,-65.5,38.5
1760,-64.5,38.5
1760,-63.5,38.5
1760,-62.5,38.5
1760,-61.5,38.5
1760,-60.5,38.5
1604,-59.5,38.5
1604,-58.5,38.5
1604,-57.5,38.5
1496,-56.5,38.5
1784,-55.5,38.5
-1,-94.5,37.5
-1,-93.5,37.5
-1,-92.5,37.5
-1,-91.5,37.5
-1,-90.5,37.5
-1,-89.5,37.5
-1,-88.5,37.5
-1,-87.5,37.5
-1,-86.5,37.5
-1,-85.5,37.5
-1,-84.5,37.5
-1,-83.5,37.5
-1,-82.5,37.5
-1,-81.5,37.5
-1,-80.5,37.5
-1,-79.5,37.5
-1,-78.5,37.5
-1,-77.5,37.5
1460,-76.5,37.5
1460,-75.5,37.5
955,-74.5,37.5
1760,-73.5,37.5
1760,-72.5,37.5
1760,-71.5,37.5
1760,-70.5,37.5
1760,-69.5,37.5
1760,-68.5,37.5
1760,-67.5,37.5
1760,-66.5,37.5
1760,-65.5,37.5
1760,-64.5,37.5
1760,-63.5,37.5
1760,-62.5,37.5
1760,-61.5,37.5
1760,-60.5,37.5
1604,-59.5,37.5
1604,-58.5,37.5
1604,-57.5,37.5
1784,-56.5,37.5
1784,-55.5,37.5
-1,-94.5,36.5
-1,-93.5,36.5
-1,-92.5,36.5
-1,-91.5,36.5
-1,-90.5,36.5
-1,-89.5,36.5
-1,-88.5,36.5
-1,-87.5,36.5
-1,-86.5,36.5
-1,-85.5,36.5
-1,-84.5,36.5
-1,-83.5,36.5
-1,-82.5,36.5
-1,-81.5,36.5
-1,-80.5,36.5
-1,-79.5,36.5
-1,-78.5,36.5
-1,-77.5,36.5
-1,-76.5,36.5
1628,-75.5,36.5
1628,-74.5,36.5
1760,-73.5,36.5
1760,-72.5,36.5
1760,-71.5,36.5
1760,-70.5,36.5
1760,-69.5,36.5
1760,-68.5,36.5
1760,-67.5,36.5
1760,-66.5,36.5
1760,-65.5,36.5
1760,-64.5,36.5
1760,-63.5,36.5
1760,-62.5,36.5
1760,-61.5,36.5
1760,-60.5,36.5
1604,-59.5,36.5
1604,-58.5,36.5
1676,-57.5,36.5
1676,-56.5,36.5
1784,-55.5,36.5
-1,-94.5,35.5
-1,-93.5,35.5
-1,-92.5,35.5
-1,-91.5,35.5
-1,-90.5,35.5
-1,-89.5,35.5
-1,-88.5,35.5
-1,-87.5,35.5
-1,-86.5,35.5
-1,-85.5,35.5
-1,-84.5,35.5
-1,-83.5,35.5
-1,-82.5,35.5
-1,-81.5,35.5
-1,-80.5,35.5
-1,-79.5,35.5
-1,-78.5,35.5
-1,-77.5,35.5
1628,-76.5,35.5
1628,-75.5,35.5
1628,-74.5,35.5
1760,-73.5,35.5
1760,-72.5,35.5
1760,-71.5,35.5
1760,-70.5,35.5
1760,-69.5,35.5
1760,-68.5,35.5
1064,-67.5,35.5
1772,-66.5,35.5
1772,-65.5,35.5
1760,-64.5,35.5
1760,-63.5,35.5
1760,-62.5,35.5
1760,-61.5,35.5
1676,-60.5,35.5
1676,-59.5,35.5
1676,-58.5,35.5
1676,-57.5,35.5
1676,-56.5,35.5
1784,-55.5,35.5
-1,-94.5,34.5
-1,-93.5,34.5
-1,-92.5,34.5
-1,-91.5,34.5
-1,-90.5,34.5
-1,-89.5,34.5
-1,-88.5,34.5
-1,-87.5,34.5
-1,-86.5,34.5
-1,-85.5,34.5
-1,-84.5,34.5
-1,-83.5,34.5
-1,-82.5,34.5
-1,-81.5,34.5
-1,-80.5,34.5
-1,-79.5,34.5
-1,-78.5,34.5
1760,-77.5,34.5
1628,-76.5,34.5
1628,-75.5,34.5
1064,-74.5,34.5
1760,-73.5,34.5
1760,-72.5,34.5
1760,-71.5,34.5
