"layer","x","y"
-1,-94.5,39.5
-1,-93.5,39.5
-1,-92.5,39.5
-1,-91.5,39.5
-1,-90.5,39.5
-1,-89.5,39.5
-1,-88.5,39.5
-1,-87.5,39.5
-1,-86.5,39.5
-1,-85.5,39.5
-1,-84.5,39.5
-1,-83.5,39.5
-1,-82.5,39.5
-1,-81.5,39.5
-1,-80.5,39.5
-1,-79.5,39.5
-1,-78.5,39.5
-1,-77.5,39.5
-1,-76.5,39.5
-1,-75.5,39.5
421,-74.5,39.5
421,-73.5,39.5
421,-72.5,39.5
457,-71.5,39.5
457,-70.5,39.5
457,-69.5,39.5
457,-68.5,39.5
445,-67.5,39.5
445,-66.5,39.5
373,-65.5,39.5
373,-64.5,39.5
446,-63.5,39.5
446,-62.5,39.5
421,-61.5,39.5
421,-60.5,39.5
265,-59.5,39.5
265,-58.5,39.5
289,-57.5,39.5
289,-56.5,39.5
445,-55.5,39.5
-1,-94.5,38.5
-1,-93.5,38.5
-1,-92.5,38.5
-1,-91.5,38.5
-1,-90.5,38.5
-1,-89.5,38.5
-1,-88.5,38.5
-1,-87.5,38.5
-1,-86.5,38.5
-1,-85.5,38.5
-1,-84.5,38.5
-1,-83.5,38.5
-1,-82.5,38.5
-1,-81.5,38.5
-1,-80.5,38.5
-1,-79.5,38.5
-1,-78.5,38.5
-1,-77.5,38.5
121,-76.5,38.5
72,-75.5,38.5
421,-74.5,38.5
421,-73.5,38.5
421,-72.5,38.5
421,-71.5,38.5
457,-70.5,38.5
457,-69.5,38.5
457,-68.5,38.5
421,-67.5,38.5
421,-66.5,38.5
373,-65.5,38.5
421,-64.5,38.5
421,-63.5,38.5
421,-62.5,38.5
421,-61.5,38.5
421,-60.5,38.5
265,-59.5,38.5
265,-58.5,38.5
265,-57.5,38.5
157,-56.5,38.5
445,-55.5,38.5
-1,-94.5,37.5
-1,-93.5,37.5
-1,-92.5,37.5
-1,-91.5,37.5
-1,-90.5,37.5
-1,-89.5,37.5
-1,-88.5,37.5
-1,-87.5,37.5
-1,-86.5,37.5
-1,-85.5,37.5
-1,-84.5,37.5
-1,-83.5,37.5
-1,-82.5,37.5
-1,-81.5,37.5
-1,-80.5,37.5
-1,-79.5,37.5
-1,-78.5,37.5
-1,-77.5,37.5
121,-76.5,37.5
121,-75.5,37.5
121,-74.5,37.5
421,-73.5,37.5
421,-72.5,37.5
421,-71.5,37.5
421,-70.5,37.5
421,-69.5,37.5
421,-68.5,37.5
421,-67.5,37.5
421,-66.5,37.5
421,-65.5,37.5
421,-64.5,37.5
421,-63.5,37.5
421,-62.5,37.5
421,-61.5,37.5
421,-60.5,37.5
265,-59.5,37.5
265,-58.5,37.5
265,-57.5,37.5
445,-56.5,37.5
445,-55.5,37.5
-1,-94.5,36.5
-1,-93.5,36.5
-1,-92.5,36.5
-1,-91.5,36.5
-1,-90.5,36.5
-1,-89.5,36.5
-1,-88.5,36.5
-1,-87.5,36.5
-1,-86.5,36.5
-1,-85.5,36.5
-1,-84.5,36.5
-1,-83.5,36.5
-1,-82.5,36.5
-1,-81.5,36.5
-1,-80.5,36.5
-1,-79.5,36.5
-1,-78.5,36.5
-1,-77.5,36.5
-1,-76.5,36.5
289,-75.5,36.5
289,-74.5,36.5
421,-73.5,36.5
421,-72.5,36.5
421,-71.5,36.5
421,-70.5,36.5
421,-69.5,36.5
421,-68.5,36.5
421,-67.5,36.5
421,-66.5,36.5
421,-65.5,36.5
421,-64.5,36.5
421,-63.5,36.5
421,-62.5,36.5
421,-61.5,36.5
421,-60.5,36.5
265,-59.5,36.5
265,-58.5,36.5
337,-57.5,36.5
337,-56.5,36.5
445,-55.5,36.5
-1,-94.5,35.5
-1,-93.5,35.5
-1,-92.5,35.5
-1,-91.5,35.5
-1,-90.5,35.5
-1,-89.5,35.5
-1,-88.5,35.5
-1,-87.5,35.5
-1,-86.5,35.5
-1,-85.5,35.5
-1,-84.5,35.5
-1,-83.5,35.5
-1,-82.5,35.5
-1,-81.5,35.5
-1,-80.5,35.5
-1,-79.5,35.5
-1,-78.5,35.5
-1,-77.5,35.5
289,-76.5,35.5
289,-75.5,35.5
289,-74.5,35.5
421,-73.5,35.5
421,-72.5,35.5
421,-71.5,35.5
421,-70.5,35.5
421,-69.5,35.5
421,-68.5,35.5
421,-67.5,35.5
433,-66.5,35.5
433,-65.5,35.5
421,-64.5,35.5
421,-63.5,35.5
421,-62.5,35.5
421,-61.5,35.5
337,-60.5,35.5
337,-59.5,35.5
337,-58.5,35.5
337,-57.5,35.5
337,-56.5,35.5
445,-55.5,35.5
-1,-94.5,34.5
-1,-93.5,34.5
-1,-92.5,34.5
-1,-91.5,34.5
-1,-90.5,34.5
-1,-89.5,34.5
-1,-88.5,34.5
-1,-87.5,34.5
-1,-86.5,34.5
-1,-85.5,34.5
-1,-84.5,34.5
-1,-83.5,34.5
-1,-82.5,34.5
-1,-81.5,34.5
-1,-80.5,34.5
-1,-79.5,34.5
-1,-78.5,34.5
421,-77.5,34.5
289,-76.5,34.5
289,-75.5,34.5
289,-74.5,34.5
421,-73.5,34.5
421,-72.5,34.5
421,-71.5,34.5
421,-70.5,34.5
421,-69.5,34.5
421,-68.5,34.5
433,-67.5,34.5
433,-66.5,34.5
433,-65.5,34.5
373,-64.5,34.5
421,-63.5,34.5
421,-62.5,34.5
421,-61.5,34.5
