"layer","x","y"
-1,-94.5,39.5
-1,-93.5,39.5
-1,-92.5,39.5
-1,-91.5,39.5
-1,-90.5,39.5
-1,-89.5,39.5
-1,-88.5,39.5
-1,-87.5,39.5
-1,-86.5,39.5
-1,-85.5,39.5
-1,-84.5,39.5
-1,-83.5,39.5
-1,-82.5,39.5
-1,-81.5,39.5
-1,-80.5,39.5
-1,-79.5,39.5
-1,-78.5,39.5
-1,-77.5,39.5
-1,-76.5,39.5
-1,-75.5,39.5
458,-74.5,39.5
458,-73.5,39.5
1154,-72.5,39.5
1154,-71.5,39.5
1154,-70.5,39.5
1154,-69.5,39.5
794,-68.5,39.5
794,-67.5,39.5
135,-66.5,39.5
135,-65.5,39.5
135,-64.5,39.5
134,-63.5,39.5
134,-62.5,39.5
134,-61.5,39.5
134,-60.5,39.5
159,-59.5,39.5
350,-58.5,39.5
350,-57.5,39.5
1204,-56.5,39.5
350,-55.5,39.5
-1,-94.5,38.5
-1,-93.5,38.5
-1,-92.5,38.5
-1,-91.5,38.5
-1,-90.5,38.5
-1,-89.5,38.5
-1,-88.5,38.5
-1,-87.5,38.5
-1,-86.5,38.5
-1,-85.5,38.5
-1,-84.5,38.5
-1,-83.5,38.5
-1,-82.5,38.5
-1,-81.5,38.5
-1,-80.5,38.5
-1,-79.5,38.5
-1,-78.5,38.5
-1,-77.5,38.5
458,-76.5,38.5
1310,-75.5,38.5
1310,-74.5,38.5
458,-73.5,38.5
1130,-72.5,38.5
1130,-71.5,38.5
1130,-70.5,38.5
1154,-69.5,38.5
1154,-68.5,38.5
794,-67.5,38.5
135,-66.5,38.5
135,-65.5,38.5
135,-64.5,38.5
134,-63.5,38.5
134,-62.5,38.5
134,-61.5,38.5
134,-60.5,38.5
134,-59.5,38.5
350,-58.5,38.5
350,-57.5,38.5
350,-56.5,38.5
350,-55.5,38.5
-1,-94.5,37.5
-1,-93.5,37.5
-1,-92.5,37.5
-1,-91.5,37.5
-1,-90.5,37.5
-1,-89.5,37.5
-1,-88.5,37.5
-1,-87.5,37.5
-1,-86.5,37.5
-1,-85.5,37.5
-1,-84.5,37.5
-1,-83.5,37.5
-1,-82.5,37.5
-1,-81.5,37.5
-1,-80.5,37.5
-1,-79.5,37.5
-1,-78.5,37.5
-1,-77.5,37.5
458,-76.5,37.5
1310,-75.5,37.5
1310,-74.5,37.5
1310,-73.5,37.5
1130,-72.5,37.5
1130,-71.5,37.5
1130,-70.5,37.5
1154,-69.5,37.5
1154,-68.5,37.5
387,-67.5,37.5
387,-66.5,37.5
1310,-65.5,37.5
1310,-64.5,37.5
1335,-63.5,37.5
1335,-62.5,37.5
1335,-61.5,37.5
843,-60.5,37.5
1191,-59.5,37.5
1191,-58.5,37.5
1191,-57.5,37.5
1191,-56.5,37.5
147,-55.5,37.5
-1,-94.5,36.5
-1,-93.5,36.5
-1,-92.5,36.5
-1,-91.5,36.5
-1,-90.5,36.5
-1,-89.5,36.5
-1,-88.5,36.5
-1,-87.5,36.5
-1,-86.5,36.5
-1,-85.5,36.5
-1,-84.5,36.5
-1,-83.5,36.5
-1,-82.5,36.5
-1,-81.5,36.5
-1,-80.5,36.5
-1,-79.5,36.5
-1,-78.5,36.5
-1,-77.5,36.5
-1,-76.5,36.5
1310,-75.5,36.5
1310,-74.5,36.5
482,-73.5,36.5
482,-72.5,36.5
387,-71.5,36.5
387,-70.5,36.5
387,-69.5,36.5
387,-68.5,36.5
387,-67.5,36.5
387,-66.5,36.5
387,-65.5,36.5
387,-64.5,36.5
1335,-63.5,36.5
1335,-62.5,36.5
1335,-61.5,36.5
675,-60.5,36.5
1191,-59.5,36.5
1191,-58.5,36.5
1191,-57.5,36.5
1191,-56.5,36.5
1191,-55.5,36.5
-1,-94.5,35.5
-1,-93.5,35.5
-1,-92.5,35.5
-1,-91.5,35.5
-1,-90.5,35.5
-1,-89.5,35.5
-1,-88.5,35.5
-1,-87.5,35.5
-1,-86.5,35.5
-1,-85.5,35.5
-1,-84.5,35.5
-1,-83.5,35.5
-1,-82.5,35.5
-1,-81.5,35.5
-1,-80.5,35.5
-1,-79.5,35.5
-1,-78.5,35.5
-1,-77.5,35.5
1202,-76.5,35.5
842,-75.5,35.5
482,-74.5,35.5
482,-73.5,35.5
482,-72.5,35.5
387,-71.5,35.5
387,-70.5,35.5
387,-69.5,35.5
387,-68.5,35.5
387,-67.5,35.5
387,-66.5,35.5
387,-65.5,35.5
387,-64.5,35.5
1335,-63.5,35.5
1335,-62.5,35.5
675,-61.5,35.5
1191,-60.5,35.5
1191,-59.5,35.5
1191,-58.5,35.5
1191,-57.5,35.5
1191,-56.5,35.5
1191,-55.5,35.5
-1,-94.5,34.5
-1,-93.5,34.5
-1,-92.5,34.5
-1,-91.5,34.5
-1,-90.5,34.5
-1,-89.5,34.5
-1,-88.5,34.5
-1,-87.5,34.5
-1,-86.5,34.5
-1,-85.5,34.5
-1,-84.5,34.5
-1,-83.5,34.5
-1,-82.5,34.5
-1,-81.5,34.5
-1,-80.5,34.5
-1,-79.5,34.5
-1,-78.5,34.5
1335,-77.5,34.5
1335,-76.5,34.5
842,-75.5,34.5
458,-74.5,34.5
458,-73.5,34.5
482,-72.5,34.5
387,-71.5,34.5
387,-70.5,34.5
387,-69.5,34.5
387,-68.5,34.5
387,-67.5,34.5
387,-66.5,34.5
