"layer","x","y"
-1,-94.5,39.5
-1,-93.5,39.5
-1,-92.5,39.5
-1,-91.5,39.5
-1,-90.5,39.5
-1,-89.5,39.5
-1,-88.5,39.5
-1,-87.5,39.5
-1,-86.5,39.5
-1,-85.5,39.5
-1,-84.5,39.5
-1,-83.5,39.5
-1,-82.5,39.5
-1,-81.5,39.5
-1,-80.5,39.5
-1,-79.5,39.5
-1,-78.5,39.5
-1,-77.5,39.5
-1,-76.5,39.5
-1,-75.5,39.5
79,-74.5,39.5
79,-73.5,39.5
79,-72.5,39.5
140,-71.5,39.5
80,-70.5,39.5
80,-69.5,39.5
80,-68.5,39.5
80,-67.5,39.5
80,-66.5,39.5
80,-65.5,39.5
271,-64.5,39.5
271,-63.5,39.5
271,-62.5,39.5
68,-61.5,39.5
343,-60.5,39.5
8,-59.5,39.5
8,-58.5,39.5
8,-57.5,39.5
8,-56.5,39.5
8,-55.5,39.5
-1,-94.5,38.5
-1,-93.5,38.5
-1,-92.5,38.5
-1,-91.5,38.5
-1,-90.5,38.5
-1,-89.5,38.5
-1,-88.5,38.5
-1,-87.5,38.5
-1,-86.5,38.5
-1,-85.5,38.5
-1,-84.5,38.5
-1,-83.5,38.5
-1,-82.5,38.5
-1,-81.5,38.5
-1,-80.5,38.5
-1,-79.5,38.5
-1,-78.5,38.5
-1,-77.5,38.5
6,-76.5,38.5
91,-75.5,38.5
79,-74.5,38.5
79,-73.5,38.5
140,-72.5,38.5
140,-71.5,38.5
140,-70.5,38.5
284,-69.5,38.5
307,-68.5,38.5
307,-67.5,38.5
8,-66.5,38.5
80,-65.5,38.5
80,-64.5,38.5
308,-63.5,38.5
68,-62.5,38.5
68,-61.5,38.5
343,-60.5,38.5
343,-59.5,38.5
343,-58.5,38.5
309,-57.5,38.5
7,-56.5,38.5
7,-55.5,38.5
-1,-94.5,37.5
-1,-93.5,37.5
-1,-92.5,37.5
-1,-91.5,37.5
-1,-90.5,37.5
-1,-89.5,37.5
-1,-88.5,37.5
-1,-87.5,37.5
-1,-86.5,37.5
-1,-85.5,37.5
-1,-84.5,37.5
-1,-83.5,37.5
-1,-82.5,37.5
-1,-81.5,37.5
-1,-80.5,37.5
-1,-79.5,37.5
-1,-78.5,37.5
-1,-77.5,37.5
79,-76.5,37.5
91,-75.5,37.5
139,-74.5,37.5
139,-73.5,37.5
139,-72.5,37.5
140,-71.5,37.5
284,-70.5,37.5
307,-69.5,37.5
307,-68.5,37.5
307,-67.5,37.5
307,-66.5,37.5
43,-65.5,37.5
308,-64.5,37.5
308,-63.5,37.5
68,-62.5,37.5
68,-61.5,37.5
68,-60.5,37.5
343,-59.5,37.5
343,-58.5,37.5
345,-57.5,37.5
7,-56.5,37.5
7,-55.5,37.5
-1,-94.5,36.5
-1,-93.5,36.5
-1,-92.5,36.5
-1,-91.5,36.5
-1,-90.5,36.5
-1,-89.5,36.5
-1,-88.5,36.5
-1,-87.5,36.5
-1,-86.5,36.5
-1,-85.5,36.5
-1,-84.5,36.5
-1,-83.5,36.5
-1,-82.5,36.5
-1,-81.5,36.5
-1,-80.5,36.5
-1,-79.5,36.5
-1,-78.5,36.5
-1,-77.5,36.5
-1,-76.5,36.5
283,-75.5,36.5
32,-74.5,36.5
32,-73.5,36.5
32,-72.5,36.5
284,-71.5,36.5
284,-70.5,36.5
307,-69.5,36.5
200,-68.5,36.5
307,-67.5,36.5
6,-66.5,36.5
344,-65.5,36.5
344,-64.5,36.5
308,-63.5,36.5
68,-62.5,36.5
68,-61.5,36.5
68,-60.5,36.5
343,-59.5,36.5
344,-58.5,36.5
7,-57.5,36.5
7,-56.5,36.5
7,-55.5,36.5
-1,-94.5,35.5
-1,-93.5,35.5
-1,-92.5,35.5
-1,-91.5,35.5
-1,-90.5,35.5
-1,-89.5,35.5
-1,-88.5,35.5
-1,-87.5,35.5
-1,-86.5,35.5
-1,-85.5,35.5
-1,-84.5,35.5
-1,-83.5,35.5
-1,-82.5,35.5
-1,-81.5,35.5
-1,-80.5,35.5
-1,-79.5,35.5
-1,-78.5,35.5
-1,-77.5,35.5
355,-76.5,35.5
355,-75.5,35.5
284,-74.5,35.5
32,-73.5,35.5
32,-72.5,35.5
284,-71.5,35.5
284,-70.5,35.5
43,-69.5,35.5
200,-68.5,35.5
200,-67.5,35.5
6,-66.5,35.5
344,-65.5,35.5
344,-64.5,35.5
344,-63.5,35.5
68,-62.5,35.5
68,-61.5,35.5
344,-60.5,35.5
344,-59.5,35.5
344,-58.5,35.5
7,-57.5,35.5
344,-56.5,35.5
344,-55.5,35.5
-1,-94.5,34.5
-1,-93.5,34.5
-1,-92.5,34.5
-1,-91.5,34.5
-1,-90.5,34.5
-1,-89.5,34.5
-1,-88.5,34.5
-1,-87.5,34.5
-1,-86.5,34.5
-1,-85.5,34.5
-1,-84.5,34.5
-1,-83.5,34.5
-1,-82.5,34.5
-1,-81.5,34.5
-1,-80.5,34.5
-1,-79.5,34.5
-1,-78.5,34.5
355,-77.5,34.5
355,-76.5,34.5
355,-75.5,34.5
284,-74.5,34.5
151,-73.5,34.5
151,-72.5,34.5
283,-71.5,34.5
283,-70.5,34.5
43,-69.5,34.5
43,-68.5,34.5
43,-67.5,34.5
344,-66.5,34.5
344,-65.5,34.5
344,-64.5,34.5
344,-63.5,34.5
68,-62.5,34.5
68,-61.5,34.5
