"layer","x","y"
-1,-94.5,39.5
-1,-93.5,39.5
-1,-92.5,39.5
-1,-91.5,39.5
-1,-90.5,39.5
-1,-89.5,39.5
-1,-88.5,39.5
-1,-87.5,39.5
-1,-86.5,39.5
-1,-85.5,39.5
-1,-84.5,39.5
-1,-83.5,39.5
-1,-82.5,39.5
-1,-81.5,39.5
-1,-80.5,39.5
-1,-79.5,39.5
-1,-78.5,39.5
-1,-77.5,39.5
-1,-76.5,39.5
-1,-75.5,39.5
440,-74.5,39.5
440,-73.5,39.5
368,-72.5,39.5
368,-71.5,39.5
368,-70.5,39.5
368,-69.5,39.5
380,-68.5,39.5
380,-67.5,39.5
380,-66.5,39.5
380,-65.5,39.5
380,-64.5,39.5
380,-63.5,39.5
380,-62.5,39.5
380,-61.5,39.5
380,-60.5,39.5
380,-59.5,39.5
380,-58.5,39.5
380,-57.5,39.5
380,-56.5,39.5
380,-55.5,39.5
-1,-94.5,38.5
-1,-93.5,38.5
-1,-92.5,38.5
-1,-91.5,38.5
-1,-90.5,38.5
-1,-89.5,38.5
-1,-88.5,38.5
-1,-87.5,38.5
-1,-86.5,38.5
-1,-85.5,38.5
-1,-84.5,38.5
-1,-83.5,38.5
-1,-82.5,38.5
-1,-81.5,38.5
-1,-80.5,38.5
-1,-79.5,38.5
-1,-78.5,38.5
-1,-77.5,38.5
368,-76.5,38.5
368,-75.5,38.5
368,-74.5,38.5
368,-73.5,38.5
368,-72.5,38.5
368,-71.5,38.5
368,-70.5,38.5
368,-69.5,38.5
380,-68.5,38.5
380,-67.5,38.5
380,-66.5,38.5
380,-65.5,38.5
380,-64.5,38.5
380,-63.5,38.5
380,-62.5,38.5
380,-61.5,38.5
380,-60.5,38.5
380,-59.5,38.5
380,-58.5,38.5
380,-57.5,38.5
380,-56.5,38.5
380,-55.5,38.5
-1,-94.5,37.5
-1,-93.5,37.5
-1,-92.5,37.5
-1,-91.5,37.5
-1,-90.5,37.5
-1,-89.5,37.5
-1,-88.5,37.5
-1,-87.5,37.5
-1,-86.5,37.5
-1,-85.5,37.5
-1,-84.5,37.5
-1,-83.5,37.5
-1,-82.5,37.5
-1,-81.5,37.5
-1,-80.5,37.5
-1,-79.5,37.5
-1,-78.5,37.5
-1,-77.5,37.5
368,-76.5,37.5
68,-75.5,37.5
68,-74.5,37.5
68,-73.5,37.5
68,-72.5,37.5
68,-71.5,37.5
68,-70.5,37.5
68,-69.5,37.5
380,-68.5,37.5
380,-67.5,37.5
380,-66.5,37.5
380,-65.5,37.5
380,-64.5,37.5
380,-63.5,37.5
380,-62.5,37.5
380,-61.5,37.5
380,-60.5,37.5
380,-59.5,37.5
380,-58.5,37.5
380,-57.5,37.5
380,-56.5,37.5
380,-55.5,37.5
-1,-94.5,36.5
-1,-93.5,36.5
-1,-92.5,36.5
-1,-91.5,36.5
-1,-90.5,36.5
-1,-89.5,36.5
-1,-88.5,36.5
-1,-87.5,36.5
-1,-86.5,36.5
-1,-85.5,36.5
-1,-84.5,36.5
-1,-83.5,36.5
-1,-82.5,36.5
-1,-81.5,36.5
-1,-80.5,36.5
-1,-79.5,36.5
-1,-78.5,36.5
-1,-77.5,36.5
-1,-76.5,36.5
68,-75.5,36.5
68,-74.5,36.5
68,-73.5,36.5
68,-72.5,36.5
68,-71.5,36.5
68,-70.5,36.5
68,-69.5,36.5
68,-68.5,36.5
380,-67.5,36.5
380,-66.5,36.5
380,-65.5,36.5
380,-64.5,36.5
188,-63.5,36.5
188,-62.5,36.5
188,-61.5,36.5
188,-60.5,36.5
188,-59.5,36.5
188,-58.5,36.5
188,-57.5,36.5
188,-56.5,36.5
380,-55.5,36.5
-1,-94.5,35.5
-1,-93.5,35.5
-1,-92.5,35.5
-1,-91.5,35.5
-1,-90.5,35.5
-1,-89.5,35.5
-1,-88.5,35.5
-1,-87.5,35.5
-1,-86.5,35.5
-1,-85.5,35.5
-1,-84.5,35.5
-1,-83.5,35.5
-1,-82.5,35.5
-1,-81.5,35.5
-1,-80.5,35.5
-1,-79.5,35.5
-1,-78.5,35.5
-1,-77.5,35.5
368,-76.5,35.5
211,-75.5,35.5
68,-74.5,35.5
68,-73.5,35.5
68,-72.5,35.5
68,-71.5,35.5
68,-70.5,35.5
68,-69.5,35.5
68,-68.5,35.5
380,-67.5,35.5
380,-66.5,35.5
380,-65.5,35.5
380,-64.5,35.5
188,-63.5,35.5
188,-62.5,35.5
188,-61.5,35.5
188,-60.5,35.5
188,-59.5,35.5
188,-58.5,35.5
188,-57.5,35.5
188,-56.5,35.5
380,-55.5,35.5
-1,-94.5,34.5
-1,-93.5,34.5
-1,-92.5,34.5
-1,-91.5,34.5
-1,-90.5,34.5
-1,-89.5,34.5
-1,-88.5,34.5
-1,-87.5,34.5
-1,-86.5,34.5
-1,-85.5,34.5
-1,-84.5,34.5
-1,-83.5,34.5
-1,-82.5,34.5
-1,-81.5,34.5
-1,-80.5,34.5
-1,-79.5,34.5
-1,-78.5,34.5
212,-77.5,34.5
211,-76.5,34.5
211,-75.5,34.5
32,-74.5,34.5
32,-73.5,34.5
32,-72.5,34.5
68,-71.5,34.5
68,-70.5,34.5
68,-69.5,34.5
68,-68.5,34.5
380,-67.5,34.5
380,-66.5,34.5
380,-65.5,34.5
380,-64.5,34.5
188,-63.5,34.5
188,-62.5,34.5
188,-61.5,34.5
